state,year,population
Alabama,2020,5032962
Alabama,2021,5050058
Alabama,2022,5076868
Alabama,2023,5117850
Alabama,2024,5163055
Alabama,2025,5193088
Alaska,2020,732906
Alaska,2021,734590
Alaska,2022,733659
Alaska,2023,734654
Alaska,2024,736537
Alaska,2025,737270
Arizona,2020,7186647
Arizona,2021,7274022
Arizona,2022,7370065
Arizona,2023,7452073
Arizona,2024,7556424
Arizona,2025,7623818
Arkansas,2020,3014399
Arkansas,2021,3027127
Arkansas,2022,3047429
Arkansas,2023,3069856
Arkansas,2024,3096080
Arkansas,2025,3114791
California,2020,39527808
California,2021,39152927
California,2022,39125347
California,2023,39181667
California,2024,39364774
California,2025,39355309
Colorado,2020,5786873
Colorado,2021,5814368
Colorado,2022,5853355
Colorado,2023,5912240
Colorado,2024,5988502
Colorado,2025,6012561
Connecticut,2020,3579643
Connecticut,2021,3607765
Connecticut,2022,3618707
Connecticut,2023,3641369
Connecticut,2024,3674449
Connecticut,2025,3688496
Delaware,2020,991890
Delaware,2021,1005130
Delaware,2022,1020279
Delaware,2023,1035354
Delaware,2024,1050123
Delaware,2025,1059952
District of Columbia,2020,670958
District of Columbia,2021,669637
District of Columbia,2022,674501
District of Columbia,2023,682559
District of Columbia,2024,691310
District of Columbia,2025,693645
Florida,2020,21591325
Florida,2021,21836698
Florida,2022,22413989
Florida,2023,22929248
Florida,2024,23265838
Florida,2025,23462518
Georgia,2020,10732595
Georgia,2021,10793038
Georgia,2022,10929992
Georgia,2023,11063669
Georgia,2024,11204208
Georgia,2025,11302748
Hawaii,2020,1451130
Hawaii,2021,1446909
Hawaii,2022,1437812
Hawaii,2023,1434950
Hawaii,2024,1434952
Hawaii,2025,1432820
Idaho,2020,1849328
Idaho,2021,1904855
Idaho,2022,1942951
Idaho,2023,1970497
Idaho,2024,2000872
Idaho,2025,2029733
Illinois,2020,12795348
Illinois,2021,12703354
Illinois,2022,12609577
Illinois,2023,12633389
Illinois,2024,12703033
Illinois,2025,12719141
Indiana,2020,6790290
Indiana,2021,6814223
Indiana,2022,6841491
Indiana,2023,6881373
Indiana,2024,6934754
Indiana,2025,6973333
Iowa,2020,3191081
Iowa,2021,3199037
Iowa,2022,3201890
Iowa,2023,3214739
Iowa,2024,3230454
Iowa,2025,3238387
Kansas,2020,2938274
Kansas,2021,2938966
Kansas,2022,2938034
Kansas,2023,2949749
Kansas,2024,2965252
Kansas,2025,2977220
Kentucky,2020,4508271
Kentucky,2021,4508348
Kentucky,2022,4521238
Kentucky,2023,4549953
Kentucky,2024,4584046
Kentucky,2025,4606864
Louisiana,2020,4652145
Louisiana,2021,4628595
Louisiana,2022,4600892
Louisiana,2023,4598777
Louisiana,2024,4614878
Louisiana,2025,4618189
Maine,2020,1364546
Maine,2021,1379009
Maine,2022,1391585
Maine,2023,1401992
Maine,2024,1408438
Maine,2025,1414874
Maryland,2020,6178387
Maryland,2021,6176035
Maryland,2022,6183257
Maryland,2023,6204927
Maryland,2024,6245314
Maryland,2025,6265347
Massachusetts,2020,6985320
Massachusetts,2021,6996721
Massachusetts,2022,7025465
Massachusetts,2023,7073479
Massachusetts,2024,7138560
Massachusetts,2025,7154084
Michigan,2020,10072294
Michigan,2021,10042362
Michigan,2022,10043906
Michigan,2023,10062124
Michigan,2024,10099962
Michigan,2025,10127884
Minnesota,2020,5710562
Minnesota,2021,5714055
Minnesota,2022,5727565
Minnesota,2023,5752998
Minnesota,2024,5797405
Minnesota,2025,5830405
Mississippi,2020,2958385
Mississippi,2021,2947603
Mississippi,2022,2941237
Mississippi,2023,2942470
Mississippi,2024,2950172
Mississippi,2025,2954160
Missouri,2020,6155074
Missouri,2021,6172551
Missouri,2022,6179285
Missouri,2023,6205956
Missouri,2024,6243544
Missouri,2025,6270541
Montana,2020,1087156
Montana,2021,1106416
Montana,2022,1121533
Montana,2023,1130612
Montana,2024,1137557
Montana,2025,1144694
Nebraska,2020,1963318
Nebraska,2021,1964697
Nebraska,2022,1972595
Nebraska,2023,1988172
Nebraska,2024,2005591
Nebraska,2025,2018006
Nevada,2020,3116851
Nevada,2021,3148472
Nevada,2022,3177672
Nevada,2023,3211077
Nevada,2024,3253543
Nevada,2025,3282188
New Hampshire,2020,1378752
New Hampshire,2021,1387907
New Hampshire,2022,1396647
New Hampshire,2023,1401530
New Hampshire,2024,1408518
New Hampshire,2025,1415342
New Jersey,2020,9270476
New Jersey,2021,9266509
New Jersey,2022,9298402
New Jersey,2023,9395315
New Jersey,2024,9506354
New Jersey,2025,9548215
New Mexico,2020,2118446
New Mexico,2021,2117300
New Mexico,2022,2112859
New Mexico,2023,2119349
New Mexico,2024,2126774
New Mexico,2025,2125498
New York,2020,20122262
New York,2021,19835345
New York,2022,19713025
New York,2023,19786543
New York,2024,20001419
New York,2025,20002427
North Carolina,2020,10450215
North Carolina,2021,10565503
North Carolina,2022,10705768
North Carolina,2023,10871849
North Carolina,2024,11052061
North Carolina,2025,11197968
North Dakota,2020,779612
North Dakota,2021,777977
North Dakota,2022,780191
North Dakota,2023,787071
North Dakota,2024,793387
North Dakota,2025,799358
Ohio,2020,11798534
Ohio,2021,11761443
Ohio,2022,11764950
Ohio,2023,11808390
Ohio,2024,11860621
Ohio,2025,11900510
Oklahoma,2020,3965243
Oklahoma,2021,3992760
Oklahoma,2022,4025327
Oklahoma,2023,4062716
